Process running on:  iscpc88.epfl.ch
Time is:             Mon Aug 5 17:38:42 CEST 2024
Start Time is:             Mon Aug 5 17:38:42 CEST 2024
[2024-08-05 17:38:49,701][HYDRA] Launching 18 jobs locally
[2024-08-05 17:38:49,701][HYDRA] 	#0 : use_wandb=False algorithm=gbs seed=2 target=gaussian_mixture10 target.dim=10
2024-08-05 17:38:57.704039: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
[2024-08-05 17:39:07,271][jax._src.xla_bridge][INFO] - Unable to initialize backend 'rocm': module 'jaxlib.xla_extension' has no attribute 'GpuAllocatorConfig'
[2024-08-05 17:39:07,292][jax._src.xla_bridge][INFO] - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
2024-08-05 17:39:08.087792: W external/xla/xla/service/gpu/nvptx_compiler.cc:836] The NVIDIA driver's CUDA version is 12.5 which is older than the PTX compiler version (12.6.20). Because the driver is older than the PTX compiler version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
Step 0: ELBO -69.13829803466797; Δ lnZ -4.098158359527588; reverse_ESS 0.0005881276447325945
Step 1600: ELBO -1.2688525915145874; Δ lnZ -0.0630636215209961; reverse_ESS 0.0961519256234169
Step 1700: ELBO -1.2302266359329224; Δ lnZ -0.031235218048095703; reverse_ESS 0.10576452314853668
Step 1800: ELBO -1.1765247583389282; Δ lnZ 0.01875782012939453; reverse_ESS 0.037083420902490616
Step 1900: ELBO -1.2110854387283325; Δ lnZ -0.004368305206298828; reverse_ESS 0.10455889999866486
Step 2000: ELBO -1.1845839023590088; Δ lnZ -0.03593015670776367; reverse_ESS 0.10440963506698608
Step 2100: ELBO -1.1567156314849854; Δ lnZ 0.0032024383544921875; reverse_ESS 0.026425883173942566
Step 2200: ELBO -1.1426177024841309; Δ lnZ 0.46795082092285156; reverse_ESS 0.0028170538134872913
Step 2300: ELBO -1.115442156791687; Δ lnZ -0.05565834045410156; reverse_ESS 0.1637638509273529
Step 2400: ELBO -1.118485450744629; Δ lnZ -0.006420135498046875; reverse_ESS 0.12228646874427795
Step 2500: ELBO -1.143323540687561; Δ lnZ 0.3429293632507324; reverse_ESS 0.00454486720263958
Step 2600: ELBO -1.1073976755142212; Δ lnZ -0.01575326919555664; reverse_ESS 0.13081295788288116
Step 2700: ELBO -1.0726698637008667; Δ lnZ -0.03221607208251953; reverse_ESS 0.08363596349954605
Step 2800: ELBO -1.1178394556045532; Δ lnZ 0.06545257568359375; reverse_ESS 0.04742918908596039
Step 2900: ELBO -1.1399792432785034; Δ lnZ -0.11311817169189453; reverse_ESS 0.11932960897684097
Step 3000: ELBO -1.0317662954330444; Δ lnZ 0.052351951599121094; reverse_ESS 0.0983896255493164
Step 3100: ELBO -1.1091521978378296; Δ lnZ -0.04634857177734375; reverse_ESS 0.038438208401203156
Step 3200: ELBO -1.0633312463760376; Δ lnZ -0.08249664306640625; reverse_ESS 0.199161559343338
Step 3300: ELBO -1.045712947845459; Δ lnZ 0.0014023780822753906; reverse_ESS 0.10325901955366135
Step 3400: ELBO -1.0424832105636597; Δ lnZ -0.07947540283203125; reverse_ESS 0.14776720106601715
Step 3500: ELBO -1.06724214553833; Δ lnZ -0.028978824615478516; reverse_ESS 0.1690974235534668
Step 3600: ELBO -1.0165014266967773; Δ lnZ -0.03902435302734375; reverse_ESS 0.19195720553398132
Step 3700: ELBO -1.0383652448654175; Δ lnZ -0.04569101333618164; reverse_ESS 0.1639171987771988
Step 3800: ELBO -1.0613740682601929; Δ lnZ -0.04343128204345703; reverse_ESS 0.1575760841369629
Step 3900: ELBO -1.0664451122283936; Δ lnZ -0.12504959106445312; reverse_ESS 0.20786483585834503
Step 4000: ELBO -0.9959822297096252; Δ lnZ 0.012133121490478516; reverse_ESS 0.17694227397441864
Step 4100: ELBO -1.0461690425872803; Δ lnZ 0.03993511199951172; reverse_ESS 0.08280888199806213
Step 4200: ELBO -1.0644218921661377; Δ lnZ -0.036891937255859375; reverse_ESS 0.114923395216465
Step 4300: ELBO -1.0206619501113892; Δ lnZ 0.08760356903076172; reverse_ESS 0.042222559452056885
Step 4400: ELBO -0.9944825768470764; Δ lnZ -0.005795001983642578; reverse_ESS 0.176422581076622
Step 4500: ELBO -1.0310271978378296; Δ lnZ 0.017790794372558594; reverse_ESS 0.08285403996706009
Step 4600: ELBO -1.012435793876648; Δ lnZ -0.02968454360961914; reverse_ESS 0.17551985383033752
Step 4700: ELBO -1.0005720853805542; Δ lnZ -0.061926841735839844; reverse_ESS 0.17403574287891388
Step 4800: ELBO -0.9861248135566711; Δ lnZ 0.016607284545898438; reverse_ESS 0.14057014882564545
Step 4900: ELBO -1.0084607601165771; Δ lnZ -0.0478825569152832; reverse_ESS 0.16583697497844696
Step 5000: ELBO -0.9094730615615845; Δ lnZ 0.11280632019042969; reverse_ESS 0.12822644412517548
Step 5100: ELBO -0.9519720673561096; Δ lnZ -0.018604278564453125; reverse_ESS 0.15692417323589325
Step 5200: ELBO -0.9547227025032043; Δ lnZ -0.00533294677734375; reverse_ESS 0.1610519289970398
Step 5300: ELBO -1.0698928833007812; Δ lnZ -0.12578678131103516; reverse_ESS 0.08674038201570511
Step 5400: ELBO -0.9769756197929382; Δ lnZ -0.053235530853271484; reverse_ESS 0.20204947888851166
Step 5500: ELBO -1.0100030899047852; Δ lnZ 0.0779104232788086; reverse_ESS 0.018722940236330032
Step 5600: ELBO -0.9666914343833923; Δ lnZ 0.03232765197753906; reverse_ESS 0.03786902129650116
Step 5700: ELBO -0.9787272810935974; Δ lnZ -0.03571939468383789; reverse_ESS 0.17770004272460938
Step 5800: ELBO -0.9731305241584778; Δ lnZ -0.09001827239990234; reverse_ESS 0.23378856480121613
Step 5900: ELBO -0.9878723621368408; Δ lnZ 0.0001983642578125; reverse_ESS 0.0798504576086998
Step 6000: ELBO -0.9460797309875488; Δ lnZ 0.09575939178466797; reverse_ESS 0.033397872000932693
Step 6100: ELBO -0.9406746625900269; Δ lnZ -0.11585569381713867; reverse_ESS 0.27960219979286194
Step 6200: ELBO -0.9932025671005249; Δ lnZ -0.058379173278808594; reverse_ESS 0.13618429005146027
Step 6300: ELBO -0.9265587329864502; Δ lnZ -0.06841278076171875; reverse_ESS 0.1739281862974167
Step 6400: ELBO -1.0226455926895142; Δ lnZ -0.09475040435791016; reverse_ESS 0.16381971538066864
Step 6500: ELBO -0.9028398990631104; Δ lnZ 0.023321151733398438; reverse_ESS 0.08585845679044724
Step 6600: ELBO -0.9629223942756653; Δ lnZ 0.02015972137451172; reverse_ESS 0.12971022725105286
Step 6700: ELBO -0.9226788878440857; Δ lnZ -0.05660724639892578; reverse_ESS 0.21645419299602509
Step 6800: ELBO -0.8945540189743042; Δ lnZ 0.1340169906616211; reverse_ESS 0.07937793433666229
Step 6900: ELBO -0.9466931819915771; Δ lnZ -0.05586051940917969; reverse_ESS 0.13639485836029053
Step 7000: ELBO -0.966663122177124; Δ lnZ -0.0629429817199707; reverse_ESS 0.1564876288175583
Step 7100: ELBO -0.9136514067649841; Δ lnZ -0.04318046569824219; reverse_ESS 0.24849946796894073
Step 7200: ELBO -0.9067673683166504; Δ lnZ -0.020627498626708984; reverse_ESS 0.20267952978610992
Step 7300: ELBO -0.9066603183746338; Δ lnZ -0.024553298950195312; reverse_ESS 0.21964122354984283
Step 7400: ELBO -0.9333983063697815; Δ lnZ -0.05006980895996094; reverse_ESS 0.1588311642408371
Step 7500: ELBO -0.9550420045852661; Δ lnZ -0.018735885620117188; reverse_ESS 0.11269326508045197
Step 7600: ELBO -0.8870461583137512; Δ lnZ -0.0022683143615722656; reverse_ESS 0.18423429131507874
Step 7700: ELBO -0.9103926420211792; Δ lnZ -0.02026510238647461; reverse_ESS 0.15093930065631866
Step 7800: ELBO -0.9119147062301636; Δ lnZ -0.04125690460205078; reverse_ESS 0.17538470029830933
Step 7900: ELBO -0.9079527854919434; Δ lnZ 0.03871774673461914; reverse_ESS 0.08650550246238708
Step 8000: ELBO -0.9193578958511353; Δ lnZ 0.022126197814941406; reverse_ESS 0.1519821584224701
Step 8100: ELBO -0.8967903256416321; Δ lnZ -0.04161787033081055; reverse_ESS 0.23662665486335754
Step 8200: ELBO -0.8947171568870544; Δ lnZ -0.039788246154785156; reverse_ESS 0.1941559761762619
Step 8300: ELBO -0.841435432434082; Δ lnZ 0.17250680923461914; reverse_ESS 0.024117551743984222
Step 8400: ELBO -0.8693915009498596; Δ lnZ 0.14261436462402344; reverse_ESS 0.0571088045835495
Step 8500: ELBO -0.9379015564918518; Δ lnZ -0.12206840515136719; reverse_ESS 0.2475135326385498
Step 8600: ELBO -0.9435549974441528; Δ lnZ -0.07125473022460938; reverse_ESS 0.1664280891418457
Step 8700: ELBO -0.8472477197647095; Δ lnZ 0.004821300506591797; reverse_ESS 0.2307886928319931
Step 8800: ELBO -0.8906274437904358; Δ lnZ 0.017620086669921875; reverse_ESS 0.07806111872196198
Step 8900: ELBO -0.9367986917495728; Δ lnZ -0.12622404098510742; reverse_ESS 0.1519515961408615
Step 9000: ELBO -0.9311758875846863; Δ lnZ 0.05977439880371094; reverse_ESS 0.05754244700074196
Step 9100: ELBO -0.9410054087638855; Δ lnZ 0.14661884307861328; reverse_ESS 0.023017531260848045
Step 9200: ELBO -0.854964017868042; Δ lnZ -0.016268253326416016; reverse_ESS 0.23018912971019745
Step 9300: ELBO -0.8731269836425781; Δ lnZ -0.028313636779785156; reverse_ESS 0.2352025806903839
Step 9400: ELBO -0.8202815651893616; Δ lnZ 0.12458610534667969; reverse_ESS 0.15389829874038696
Step 9500: ELBO -0.8392438888549805; Δ lnZ 0.02411174774169922; reverse_ESS 0.17087294161319733
Step 9600: ELBO -0.8830991387367249; Δ lnZ 0.02065563201904297; reverse_ESS 0.16960833966732025
Step 9700: ELBO -0.9032188057899475; Δ lnZ -0.07629966735839844; reverse_ESS 0.26368117332458496
Step 9800: ELBO -0.9253374338150024; Δ lnZ -0.051943302154541016; reverse_ESS 0.18124936521053314
Step 9900: ELBO -0.8515907526016235; Δ lnZ 0.10761547088623047; reverse_ESS 0.06750670075416565
Step 9999: ELBO -0.8411686420440674; Δ lnZ 0.03404378890991211; reverse_ESS 0.17039430141448975
[2024-08-05 18:10:56,036][HYDRA] 	#1 : use_wandb=False algorithm=gbs seed=2 target=gaussian_mixture10 target.dim=100
Step 0: ELBO -1028.5401611328125; Δ lnZ -587.3020629882812; reverse_ESS 0.0005000000237487257
Step 100: ELBO -16.17671775817871; Δ lnZ -3.6333999633789062; reverse_ESS 0.0006272325990721583
Step 200: ELBO -17.642751693725586; Δ lnZ -5.050238609313965; reverse_ESS 0.0022801433224231005
Step 300: ELBO -22.237165451049805; Δ lnZ -6.477274417877197; reverse_ESS 0.001105510862544179
Step 400: ELBO -30.34122085571289; Δ lnZ -11.532347679138184; reverse_ESS 0.0022418133448809385
Step 500: ELBO -32.28404998779297; Δ lnZ -11.209692001342773; reverse_ESS 0.0017988348845392466
Step 600: ELBO -30.164348602294922; Δ lnZ -8.297599792480469; reverse_ESS 0.0005268054665066302
Step 700: ELBO -30.674903869628906; Δ lnZ -9.029922485351562; reverse_ESS 0.0007434751023538411
Step 800: ELBO -31.879056930541992; Δ lnZ -11.945592880249023; reverse_ESS 0.0031939102336764336
Step 900: ELBO -30.471040725708008; Δ lnZ -7.819433689117432; reverse_ESS 0.0012269142316654325
Step 1000: ELBO -31.079744338989258; Δ lnZ -9.884956359863281; reverse_ESS 0.0015268974239006639
Step 1100: ELBO -31.50543212890625; Δ lnZ -9.470897674560547; reverse_ESS 0.001884268131107092
Step 1200: ELBO -30.60335350036621; Δ lnZ -11.020938873291016; reverse_ESS 0.00346919777803123
Step 1300: ELBO -31.829275131225586; Δ lnZ -7.836721897125244; reverse_ESS 0.0007555624470114708
Step 1400: ELBO -30.17620849609375; Δ lnZ -6.5740838050842285; reverse_ESS 0.0010543373646214604
Step 1500: ELBO -30.80316925048828; Δ lnZ -9.461557388305664; reverse_ESS 0.0028021589387208223
Step 1600: ELBO -30.53329086303711; Δ lnZ -7.407312870025635; reverse_ESS 0.0005929345497861505
Step 1700: ELBO -31.503366470336914; Δ lnZ -7.060882568359375; reverse_ESS 0.0007022909703664482
Step 1800: ELBO -31.219013214111328; Δ lnZ -6.7317914962768555; reverse_ESS 0.0007635587826371193
Step 1900: ELBO -31.393930435180664; Δ lnZ -9.35753059387207; reverse_ESS 0.002568878699094057
Step 2000: ELBO -30.659942626953125; Δ lnZ -9.162893295288086; reverse_ESS 0.0012823292054235935
Step 2100: ELBO -29.947044372558594; Δ lnZ -5.359688758850098; reverse_ESS 0.0006451655644923449
Step 2200: ELBO -30.954833984375; Δ lnZ -2.442296028137207; reverse_ESS 0.0006526025827042758
Step 2300: ELBO -30.797800064086914; Δ lnZ -8.69028091430664; reverse_ESS 0.0015854238299652934
Step 2400: ELBO -32.40451431274414; Δ lnZ -7.0747761726379395; reverse_ESS 0.0010053368750959635
Step 2500: ELBO -34.452640533447266; Δ lnZ -9.938573837280273; reverse_ESS 0.0009710204903967679
Step 2600: ELBO -31.12580680847168; Δ lnZ -3.784536361694336; reverse_ESS 0.0005086449673399329
Step 2700: ELBO -30.283552169799805; Δ lnZ -7.117550373077393; reverse_ESS 0.0006902074674144387
Step 2800: ELBO -30.813125610351562; Δ lnZ -7.594533443450928; reverse_ESS 0.001982552232220769
Step 2900: ELBO -31.13503646850586; Δ lnZ -7.312655925750732; reverse_ESS 0.000741802214179188
Step 3000: ELBO -31.12254524230957; Δ lnZ -7.934062480926514; reverse_ESS 0.0005947391036897898
Step 3100: ELBO -31.58076286315918; Δ lnZ -6.618025302886963; reverse_ESS 0.000586356851272285
Step 3200: ELBO -31.086347579956055; Δ lnZ -4.027863502502441; reverse_ESS 0.000651191920042038
Step 3300: ELBO -31.05853271484375; Δ lnZ -4.82764196395874; reverse_ESS 0.0008543154690414667
Step 3400: ELBO -31.002756118774414; Δ lnZ -8.860376358032227; reverse_ESS 0.0017003010725602508
Step 3500: ELBO -31.78459930419922; Δ lnZ -8.22604751586914; reverse_ESS 0.0005800908547826111
Step 3600: ELBO -31.567232131958008; Δ lnZ -7.744139194488525; reverse_ESS 0.0015263481764122844
Step 3700: ELBO -31.580909729003906; Δ lnZ -8.747807502746582; reverse_ESS 0.0009050346561707556
Step 3800: ELBO -31.710447311401367; Δ lnZ -7.95947790145874; reverse_ESS 0.0016497067408636212
Step 3900: ELBO -32.51856231689453; Δ lnZ -5.447595596313477; reverse_ESS 0.0005808985442854464
Step 4000: ELBO -31.326242446899414; Δ lnZ -7.9879560470581055; reverse_ESS 0.0018905422184616327
Step 4100: ELBO -31.689491271972656; Δ lnZ -4.8471198081970215; reverse_ESS 0.0005243243067525327
Step 4200: ELBO -31.472719192504883; Δ lnZ -3.4126667976379395; reverse_ESS 0.0009853962110355496
Step 4300: ELBO -32.4477653503418; Δ lnZ -8.739911079406738; reverse_ESS 0.0007366628269664943
Step 4400: ELBO -32.0709228515625; Δ lnZ -10.696403503417969; reverse_ESS 0.0009070975356735289
Step 4500: ELBO -31.96579933166504; Δ lnZ -5.887672424316406; reverse_ESS 0.0012661858927458525
Step 4600: ELBO -31.80255699157715; Δ lnZ -6.727554798126221; reverse_ESS 0.0006346667069010437
Step 4700: ELBO -31.978572845458984; Δ lnZ -7.222388744354248; reverse_ESS 0.0009517351281829178
Step 4800: ELBO -31.577333450317383; Δ lnZ -10.066213607788086; reverse_ESS 0.004674348048865795
Step 4900: ELBO -32.220489501953125; Δ lnZ -2.803312301635742; reverse_ESS 0.0008617503335699439
Step 5000: ELBO -31.49618911743164; Δ lnZ -8.989290237426758; reverse_ESS 0.0017219498986378312
Step 5100: ELBO -32.7026252746582; Δ lnZ -6.184011936187744; reverse_ESS 0.0005969852209091187
Step 5200: ELBO -31.95877456665039; Δ lnZ -8.660192489624023; reverse_ESS 0.0007308086496777833
Step 5300: ELBO -31.539669036865234; Δ lnZ -4.112347602844238; reverse_ESS 0.0005699080065824091
Step 5400: ELBO -32.397335052490234; Δ lnZ -2.482980728149414; reverse_ESS 0.0005031999899074435
Step 5500: ELBO -32.120361328125; Δ lnZ -6.741436004638672; reverse_ESS 0.0017441710224375129
Step 5600: ELBO -31.566139221191406; Δ lnZ -9.438456535339355; reverse_ESS 0.002749593462795019
Step 5700: ELBO -33.18767547607422; Δ lnZ -10.615482330322266; reverse_ESS 0.0017407002160325646
Step 5800: ELBO -32.164737701416016; Δ lnZ -4.759012222290039; reverse_ESS 0.0008290807018056512
Step 5900: ELBO -31.768482208251953; Δ lnZ -7.959805011749268; reverse_ESS 0.0015725874109193683
Step 6000: ELBO -32.445396423339844; Δ lnZ -6.067234039306641; reverse_ESS 0.0006309772725217044
Step 6100: ELBO -31.447078704833984; Δ lnZ -8.166936874389648; reverse_ESS 0.0012609421974048018
Step 6200: ELBO -32.65858840942383; Δ lnZ -7.513804912567139; reverse_ESS 0.0013807221548631787
Step 6300: ELBO -31.805126190185547; Δ lnZ -5.072218418121338; reverse_ESS 0.000721156713552773
Step 6400: ELBO -32.8945198059082; Δ lnZ -8.837421417236328; reverse_ESS 0.0011547149624675512
Step 6500: ELBO -31.802215576171875; Δ lnZ -7.635481834411621; reverse_ESS 0.0014405399560928345
Step 6600: ELBO -32.524269104003906; Δ lnZ -6.408039569854736; reverse_ESS 0.0005097542307339609
Step 6700: ELBO -32.747798919677734; Δ lnZ -9.282201766967773; reverse_ESS 0.00120396981947124
Step 6800: ELBO -31.7567195892334; Δ lnZ -4.373269081115723; reverse_ESS 0.0010963472304865718
Step 6900: ELBO -33.038883209228516; Δ lnZ -8.935518264770508; reverse_ESS 0.0014037593500688672
Step 7000: ELBO -32.02851867675781; Δ lnZ -10.276603698730469; reverse_ESS 0.002405506558716297
Step 7100: ELBO -32.136234283447266; Δ lnZ -3.4515442848205566; reverse_ESS 0.0005175716360099614
Step 7200: ELBO -32.186241149902344; Δ lnZ -4.312107086181641; reverse_ESS 0.0005194140831008554
Step 7300: ELBO -32.473915100097656; Δ lnZ -7.724066257476807; reverse_ESS 0.0014143192674964666
Step 7400: ELBO -32.387664794921875; Δ lnZ -7.598082065582275; reverse_ESS 0.0011799881467595696
Step 7500: ELBO -32.54462432861328; Δ lnZ -8.916346549987793; reverse_ESS 0.001480088452808559
Step 7600: ELBO -32.882057189941406; Δ lnZ -5.405119895935059; reverse_ESS 0.0007102742092683911
Step 7700: ELBO -32.774200439453125; Δ lnZ -5.153866767883301; reverse_ESS 0.0005413619219325483
Step 7800: ELBO -32.85262680053711; Δ lnZ -9.364618301391602; reverse_ESS 0.0010850410908460617
Step 7900: ELBO -32.883949279785156; Δ lnZ -8.596442222595215; reverse_ESS 0.0005995114333927631
Step 8000: ELBO -32.81364822387695; Δ lnZ -8.570597648620605; reverse_ESS 0.0012615045998245478
Step 8100: ELBO -32.85997772216797; Δ lnZ -8.79328727722168; reverse_ESS 0.0010105230612680316
Step 8200: ELBO -32.60517501831055; Δ lnZ -9.352581024169922; reverse_ESS 0.0015773645136505365
Step 8300: ELBO -32.68184280395508; Δ lnZ -6.386634349822998; reverse_ESS 0.0005537696997635067
Step 8400: ELBO -32.205745697021484; Δ lnZ -7.54074764251709; reverse_ESS 0.0007340529700741172
Step 8500: ELBO -32.49042892456055; Δ lnZ -6.747987747192383; reverse_ESS 0.0005739327170886099
Step 8600: ELBO -32.97937774658203; Δ lnZ -8.528642654418945; reverse_ESS 0.0010089874267578125
Step 8700: ELBO -31.66696548461914; Δ lnZ -3.650599479675293; reverse_ESS 0.000551161530893296
Step 8800: ELBO -32.432979583740234; Δ lnZ -9.862719535827637; reverse_ESS 0.0015833575744181871
Step 8900: ELBO -32.50404739379883; Δ lnZ -8.314864158630371; reverse_ESS 0.001174120930954814
Step 9000: ELBO -32.84804916381836; Δ lnZ -7.463323593139648; reverse_ESS 0.000701666867826134
Step 9100: ELBO -32.38737869262695; Δ lnZ -5.529597282409668; reverse_ESS 0.0008615850820206106
Step 9200: ELBO -32.34601974487305; Δ lnZ -6.950082302093506; reverse_ESS 0.0019464014330878854
Step 9300: ELBO -32.41806411743164; Δ lnZ -4.830037593841553; reverse_ESS 0.0005124544841237366
Step 9400: ELBO -32.94333267211914; Δ lnZ -8.125555038452148; reverse_ESS 0.0015186278615146875
Step 9500: ELBO -32.29167556762695; Δ lnZ -7.303766250610352; reverse_ESS 0.0006380737177096307
Step 9600: ELBO -32.576690673828125; Δ lnZ -6.176220893859863; reverse_ESS 0.001134927268140018
Step 9700: ELBO -33.25870895385742; Δ lnZ -8.42936897277832; reverse_ESS 0.0023275334388017654
Step 9800: ELBO -33.219337463378906; Δ lnZ -9.365270614624023; reverse_ESS 0.0016750623472034931
Step 9900: ELBO -32.5303955078125; Δ lnZ -6.851693630218506; reverse_ESS 0.0006829335470683873
Step 9999: ELBO -32.892250061035156; Δ lnZ -8.741293907165527; reverse_ESS 0.0008009877637960017
[2024-08-05 18:52:03,444][HYDRA] 	#2 : use_wandb=False algorithm=gbs seed=2 target=gaussian_mixture10 target.dim=200
Step 0: ELBO -2190.105712890625; Δ lnZ -1571.481689453125; reverse_ESS 0.0005004745908081532
Step 100: ELBO -30.21372413635254; Δ lnZ -10.445137023925781; reverse_ESS 0.0010714208474382758
Step 200: ELBO -37.114585876464844; Δ lnZ -16.764507293701172; reverse_ESS 0.0014603087911382318
Step 300: ELBO -50.835689544677734; Δ lnZ -22.269142150878906; reverse_ESS 0.0008689230307936668
Step 400: ELBO -63.83477783203125; Δ lnZ -29.466407775878906; reverse_ESS 0.0007508219568990171
Step 500: ELBO -61.12831497192383; Δ lnZ -26.732471466064453; reverse_ESS 0.0006418885895982385
Step 600: ELBO -63.25623321533203; Δ lnZ -24.61187744140625; reverse_ESS 0.0005230795941315591
Step 700: ELBO -58.498023986816406; Δ lnZ -21.39470672607422; reverse_ESS 0.0005300045013427734
Step 800: ELBO -62.43937301635742; Δ lnZ -17.585674285888672; reverse_ESS 0.0005168806528672576
Step 900: ELBO -60.130977630615234; Δ lnZ -19.380905151367188; reverse_ESS 0.0005003016558475792
Step 1000: ELBO -61.90801239013672; Δ lnZ -23.738142013549805; reverse_ESS 0.0018867736216634512
Step 1100: ELBO -60.88933563232422; Δ lnZ -18.788694381713867; reverse_ESS 0.0005011432804167271
Step 1200: ELBO -63.5656852722168; Δ lnZ -22.212690353393555; reverse_ESS 0.0006066596833989024
Step 1300: ELBO -61.67379379272461; Δ lnZ -18.372570037841797; reverse_ESS 0.0005067686433903873
Step 1400: ELBO -63.692752838134766; Δ lnZ -12.886191368103027; reverse_ESS 0.0005004779086448252
Step 1500: ELBO -62.04875564575195; Δ lnZ -23.731704711914062; reverse_ESS 0.0014282426564022899
Step 1600: ELBO -61.91379165649414; Δ lnZ -20.091426849365234; reverse_ESS 0.0005249085952527821
Step 1700: ELBO -65.80034637451172; Δ lnZ -29.092063903808594; reverse_ESS 0.0009685586555860937
Step 1800: ELBO -62.82213592529297; Δ lnZ -13.729745864868164; reverse_ESS 0.0005020787939429283
Step 1900: ELBO -66.02398681640625; Δ lnZ -17.803600311279297; reverse_ESS 0.0005015562637709081
Step 2000: ELBO -64.06636810302734; Δ lnZ -25.332733154296875; reverse_ESS 0.001361117116175592
Step 2100: ELBO -62.91633224487305; Δ lnZ -20.097978591918945; reverse_ESS 0.0005215327255427837
Step 2200: ELBO -63.29935073852539; Δ lnZ -26.404945373535156; reverse_ESS 0.0020093207713216543
Step 2300: ELBO -64.60095977783203; Δ lnZ -27.221538543701172; reverse_ESS 0.001168721355497837
Step 2400: ELBO -63.58208465576172; Δ lnZ -24.756132125854492; reverse_ESS 0.0009205340757034719
Step 2500: ELBO -64.1650390625; Δ lnZ -21.18509864807129; reverse_ESS 0.0007631758344359696
Step 2600: ELBO -62.3073844909668; Δ lnZ -23.71268081665039; reverse_ESS 0.001519162324257195
Step 2700: ELBO -65.47138977050781; Δ lnZ -20.8123779296875; reverse_ESS 0.0009200779022648931
Step 2800: ELBO -62.71261215209961; Δ lnZ -21.914325714111328; reverse_ESS 0.0009698715293779969
Step 2900: ELBO -63.45261764526367; Δ lnZ -20.89246368408203; reverse_ESS 0.0006599328480660915
Step 3000: ELBO -63.37701416015625; Δ lnZ -24.51072120666504; reverse_ESS 0.001073053339496255
Step 3100: ELBO -62.05775451660156; Δ lnZ -25.094430923461914; reverse_ESS 0.0013273301301524043
Step 3200: ELBO -63.840267181396484; Δ lnZ -20.66424560546875; reverse_ESS 0.0005122274742461741
Step 3300: ELBO -64.73648071289062; Δ lnZ -22.799114227294922; reverse_ESS 0.0005472972407005727
Step 3400: ELBO -63.397464752197266; Δ lnZ -24.62587547302246; reverse_ESS 0.0005157481064088643
